Date,Caption,Views,Likes,Comments,Saves,Shares,Engagement,Source Engagement Rate,Recalculated Engagement Rate
2026-05-28,Hace calor… y tu cuerpo lo sabe / Aguas frescas,423,15,1,1,1,18,0.0426,0.0425531914893617
2026-06-04,We Asked…,496,16,0,1,2,19,0.0449,0.038306451612903226
2026-07-03,Café Morelos,357,7,1,1,1,10,0.0236,0.028011204481792718
2026-07-08,Cuando hay carne en la mesa,335,8,1,1,1,11,0.026000000000000002,0.03283582089552239
2026-07-10,Futbolito Morelos,360,4,4,1,1,10,0.0236,0.027777777777777776
2026-07-16,Machaca Xavier y Melissa,515,20,1,4,2,27,0.0638,0.05242718446601942
2026-07-22,Helado de pollo viral,417,19,6,2,8,35,0.0827,0.08393285371702638
2026-07-29,Panadería Tradicional,358,19,1,1,1,22,0.052000000000000005,0.061452513966480445
